,Name,dist_obj
0,00944,[]
1,02060,[]
2,05145,[]
3,05335,[]
4,07066,[]
5,08405,[]
6,10199,[]
7,10370,[]
8,15504,[]
9,15760,[]
10,15788,[]
11,15789,[]
12,15807,[]
13,15809,[]
14,15810,[]
15,15820,[]
16,15836,[]
17,15874,[]
18,15875,[]
19,15883,[]
20,16684,[]
21,19255,['K02PF3O']
22,19299,[]
23,19308,[]
24,19521,[]
25,20000,[]
26,20108,"['J99D08E', 'K01XP4V', 'K02TU1G']"
27,20161,[]
28,20461,[]
29,24835,[]
30,24952,[]
31,24978,"['J98K66G', 'J99D08Q']"
32,26181,[]
33,26308,[]
34,26375,[]
35,28978,[]
36,29981,[]
37,31824,[]
38,32532,[]
39,32929,[]
40,33001,[]
41,33128,[]
42,33340,[]
43,35671,[]
44,37117,[]
45,38083,"['K00SX1H', 'K01FJ3F']"
46,38084,[]
47,38628,[]
48,40314,[]
49,42301,[]
50,42355,[]
51,44594,[]
52,45802,"['J99D08F', 'K00SX1G', 'K02TU1A', 'K04D71L']"
53,47171,[]
54,47932,[]
55,48639,[]
56,49036,[]
57,49673,[]
58,50000,"['J98K66G', 'J99CB9A', 'K00Sb0X', 'K02PF3P']"
59,52747,[]
60,52872,[]
61,52975,[]
62,53311,"['K02PF3D', 'K18G15T']"
63,54520,[]
64,54598,[]
65,55565,[]
66,55576,[]
67,55636,[]
68,55637,[]
69,55638,[]
70,58534,[]
71,59358,[]
72,60454,[]
73,60458,[]
74,60558,[]
75,60608,[]
76,60620,[]
77,60621,[]
78,63252,[]
79,65407,[]
80,65489,[]
81,66452,[]
82,66652,[]
83,69986,[]
84,69987,['K01QT7U']
85,69988,[]
86,69990,[]
87,73480,[]
88,76803,[]
89,78799,[]
90,79360,"['J99RL5F', 'K00SX1F', 'K01XP5F', 'K02PF3B', 'K04V76A']"
91,79969,[]
92,79978,[]
93,79983,[]
94,80806,[]
95,82075,[]
96,82155,[]
97,82157,[]
98,82158,[]
99,83982,[]
100,84522,[]
101,84719,[]
102,84922,[]
103,85627,[]
104,85633,[]
105,86047,[]
106,86177,[]
107,87269,[]
108,87555,[]
109,88267,['K03QB3Y']
110,88268,['K05P21O']
111,88269,[]
112,88611,"['J98K66G', 'J99D08Q', 'K02TU1E']"
113,90377,[]
114,90482,[]
115,90568,[]
116,91133,[]
117,91205,[]
118,91554,[]
119,95625,[]
120,95626,[]
121,B8228,[]
122,B8378,[]
123,B8379,[]
124,B8698,[]
125,B8702,[]
126,B9066,[]
127,B9067,[]
128,B9068,[]
129,B9069,[]
130,B9070,[]
131,B9315,[]
132,B9473,[]
133,B9878,[]
134,B9951,[]
135,B9956,[]
136,B9976,[]
137,B9979,[]
138,C0061,[]
139,C0132,[]
140,C0178,[]
141,C0181,[]
142,C0216,[]
143,C0347,[]
144,C0348,[]
145,C1725,[]
146,C3509,['K02PF3D']
147,C6154,[]
148,C6155,[]
149,C6619,[]
150,C6719,[]
151,C7546,[]
152,C7871,[]
153,C9746,[]
154,C9772,[]
155,D0391,[]
156,D1318,"['K01DA8S', 'K02TU1C', 'K05P21N']"
157,D1695,[]
158,D1696,[]
159,D1697,[]
160,D3067,[]
161,D4210,[]
162,D4340,[]
163,D4568,[]
164,D4860,['K01QT7V']
165,D5024,[]
166,D5182,['t4000']
167,D5571,[]
168,D5742,[]
169,D6108,[]
170,D6120,[]
171,D6199,[]
172,D6204,[]
173,D6472,[]
174,D7294,[]
175,D7295,[]
176,D8537,[]
177,D8628,[]
178,D9775,[]
179,E3685,[]
180,E3707,[]
181,E3751,[]
182,E3991,[]
183,E4897,[]
184,E4908,[]
185,E5451,[]
