,Name,dist_obj
0,15760,[]
1,15789,"['2000 PD30', '2003 YS179', '2011 UF412', '2011 UZ411', '2013 FQ28']"
2,15807,"['1999 CL119', '2000 PD30', '2012 XR157']"
3,15809,[]
4,15810,"['1999 HS11', '2000 GX146', '2000 OH67', '2003 YN179', '2004 HG79', '2012 XR157']"
5,15836,"['38083', '60620', '118698', '126719', '175113', '470308', '1998 HO151', '1999 RX215', '2003 LD9', '2003 YL179', '2010 TN182', '2011 UJ412', '2011 UX411', '2013 GV136', '2014 JS80', '2015 BP518', '2015 BU518']"
6,15883,[]
7,16684,"['2011 UF412', '2013 JJ64']"
8,19255,"['1999 HS11', '2000 OH67', '2003 YN179', '2004 HG79', '2012 XR157', '2013 JJ64']"
9,19299,"['38628', '47932', '55637', '60620', '90482', '91205', '119070', '126155', '143751', '149349', '169071', '181868', '341520', '385445', '385695', '437871', '437915', '469420', '1998 WV31', '1998 WW31', '1999 TR11', '2002 CW224', '2002 VV130', '2002 XV93', '2003 FL127', '2003 QB91', '2003 SR317', '2003 UT292', '2003 WA191', '2003 YV179', '2004 EV95', '2004 HN79', '2004 HX78', '2004 HY78', '2004 TX357', '2004 VE131', '2004 VF131', '2005 EZ300', '2005 GF187', '2005 SE278', '2006 QR181', '2006 TO130', '2007 FO51', '2007 VJ302', '2008 SP266', '2009 DS143', '2009 KO30', '2010 JK124', '2010 TM182', '2010 VL201', '2010 VX224', '2011 HF103', '2011 UG412', '2011 UH411', '2011 UM411', '2011 US410', '2011 UT410', '2012 BY154', '2012 DB99', '2012 JH67', '2012 UH177', '2012 UL177', '2013 FD28', '2013 GD137', '2013 GF137', '2013 GO137', '2013 GQ136', '2013 HV156', '2013 JD65', '2013 JG65', '2013 PX74', '2014 GE54', '2014 GY53', '2014 JL80', '2014 JR80', '2014 KD102', '2014 KU101', '2014 MF70', '2014 OZ393', '2014 TT85', '2014 WO509', '2014 WQ510', '2014 WR510', '2014 XR40', '2014 YG50', '2015 BM518']"
10,19308,[]
11,19521,[]
12,20000,"['2012 XR157', '2013 JJ64']"
13,20108,"['47171', '66652', '79360', '79983', '119067', '145452', '150642', '168700', '175113', '275809', '307463', '363330', '385194', '385201', '455171', '469362', '469438', '470308', '471196', '471921', '472232', '472271', '1994 EV3', '1995 DB2', '1995 DC2', '1996 KV1', '1997 CV29', '1998 HO151', '1999 OG4', '1999 RG215', '2000 CE105', '2000 CQ114', '2000 FT53', '2000 GV146', '2000 KK4', '2000 OB51', '2000 OH67', '2000 OU69', '2000 PA30', '2000 WN183', '2000 WT169', '2001 FK193', '2001 KA77', '2001 OG109', '2001 OQ108', '2001 OZ108', '2001 QD298', '2001 QF331', '2001 UP18', '2001 VN71', '2002 CB225', '2002 CZ224', '2002 FV6', '2002 GY32', '2002 VD138', '2002 VX130', '2003 QS91', '2003 QX113', '2003 QX91', '2003 TJ58', '2003 TL58', '2003 UT292', '2003 YL179', '2004 FW164', '2004 HD79', '2004 KC19', '2004 VC131', '2005 EN302', '2005 EO304', '2005 GC187', '2006 CH69', '2006 SF415', '2006 WF206', '2007 RT15', '2010 OO127', '2010 TP182', '2010 TT191', '2010 VL201', '2011 JX31', '2011 OA60', '2011 UF412', '2011 UG411', '2011 US412', '2011 UT410', '2012 DW98', '2012 FK84', '2012 HZ84', '2012 TE324', '2012 UB178', '2012 UH177', '2013 GC137', '2013 GG138', '2013 GH137', '2013 GS137', '2013 JJ65', '2013 JR65', '2013 JW63', '2013 UP15', '2013 XB26', '2014 DH143', '2014 DM143', '2014 DN143', '2014 HT199', '2014 HV199', '2014 KV101', '2014 KX101', '2014 LR28', '2014 OL394', '2014 WN509', '2014 WP509', '2014 WP510', '2014 WR510', '2014 WT69', '2014 XY40', '2014 YG50', '2015 BP518']"
14,24835,['2012 XR157']
15,24952,[]
16,24978,"['2012 XR157', '2013 JJ64']"
17,28978,[]
18,32929,"['33340', '1999 CQ133', '1999 RT214', '2000 WO183', '2001 RW143', '2003 YL179', '2006 UO321', '2011 UV410', '2014 DH143']"
19,33001,"['2012 XR157', '2013 JJ64']"
20,33340,[]
21,35671,"['60620', '84922', '118378', '118698', '119956', '126719', '175113', '181855', '385458', '491767', '1996 TS66', '1998 HO151', '1999 RX215', '2000 FX53', '2000 PX29', '2000 QL251', '2001 DD106', '2001 QE298', '2002 GS32', '2003 FD128', '2003 YL179', '2004 KK19', '2004 OQ15', '2004 PW107', '2005 CE81', '2005 JA175', '2005 JK186', '2005 SE278', '2010 EL139', '2010 OO127', '2010 TA192', '2010 TN182', '2011 UJ412', '2011 UL411', '2011 UM411', '2011 UX411', '2012 HZ84', '2012 UN177', '2012 XR157', '2013 GV136', '2013 HV156', '2013 JO65', '2013 JU64', '2013 TM159', '2013 UK15', '2014 TA86', '2014 TZ85']"
